"red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3"
3,8,12,18,16,25,47,0,24,28,50,0,1,5,12
19,25,34,229,8,25,43,65,17,17,47,0,13,1,9
14,29,42,219,22,22,69,12,12,15,28,112,12,21,11
12,12,27,57,10,19,29,134,8,17,22,112,8,7,7
5,5,20,0,19,19,57,7,30,36,46,13,2,12,12
9,11,27,0,5,9,22,18,4,7,22,0,3,2,3
5,5,27,0,10,10,46,0,29,41,93,0,3,5,24
21,27,61,0,30,38,72,13,49,50,116,0,15,27,45
5,5,32,0,10,21,32,170,2,8,24,80,4,10,2
10,10,26,0,10,11,30,4,7,7,27,0,2,5,4
15,21,41,77,11,12,24,13,10,14,31,54,13,5,4
22,67,103,242,9,41,74,178,31,97,153,273,22,4,25
23,24,31,4,15,15,41,0,24,24,54,0,9,7,9
13,29,48,293,12,18,28,284,21,35,48,283,9,9,16
27,27,51,0,36,38,75,0,56,56,102,2,18,21,41
14,45,63,264,1,34,44,19,1,42,55,0,8,1,1
34,34,61,0,15,20,31,53,16,16,30,37,16,8,7
29,29,99,63,43,47,117,38,39,41,125,0,22,30,28
8,24,49,158,24,41,78,92,41,54,88,90,4,17,23
20,24,66,41,21,44,66,186,19,54,76,240,9,15,18
15,27,38,29,25,28,70,33,6,31,67,0,5,14,5
30,37,83,226,14,14,28,124,25,30,56,227,23,6,21
50,52,115,0,59,69,128,84,8,39,49,187,33,42,3
10,11,22,60,12,23,36,76,3,10,17,201,2,4,1
17,17,67,0,15,24,40,43,22,22,50,15,13,10,17
16,16,60,39,25,25,77,14,36,38,100,14,4,14,21
9,10,30,0,13,13,42,0,12,12,52,0,6,8,8
12,23,38,122,23,25,68,3,27,33,79,10,4,6,11
15,26,48,133,7,22,29,128,17,38,60,170,6,3,15
5,13,25,200,7,12,18,259,2,2,10,84,3,5,1
17,17,25,0,31,31,79,0,27,32,72,46,1,16,11
30,30,64,0,41,41,83,0,60,63,118,0,17,27,55
24,24,73,0,27,27,67,0,19,26,68,19,7,7,10
8,14,29,217,7,7,28,12,8,9,22,68,5,7,8
10,10,18,17,5,7,21,16,5,10,15,7,7,3,5
7,19,32,91,10,16,25,69,2,28,34,137,3,6,1
12,25,44,147,14,24,30,194,15,38,49,122,5,3,9
19,21,42,209,5,16,27,150,21,31,48,167,12,5,15
24,24,52,6,31,38,76,10,38,40,80,18,18,29,32
6,6,46,0,25,25,95,0,12,12,57,0,4,19,9
3,29,32,0,8,20,33,3,10,20,50,10,3,8,9
11,18,24,11,15,23,35,0,6,18,32,24,6,12,6
1,14,16,0,7,7,17,0,4,7,9,0,1,7,4
7,11,16,146,7,9,15,185,10,10,24,46,2,4,5
17,17,54,0,11,14,38,94,14,25,40,164,8,5,12
14,20,30,73,10,29,41,185,9,45,52,276,2,4,8
22,22,65,3,10,10,58,4,16,16,60,0,10,5,8
22,24,47,46,32,35,67,0,28,34,70,13,17,25,24
8,8,32,0,14,14,31,0,10,10,24,0,4,11,3
19,47,54,39,20,38,52,51,14,24,29,231,14,10,8
34,40,50,73,37,39,70,0,57,59,89,21,13,28,42
1,1,7,0,6,6,18,0,4,4,21,0,1,5,1
22,27,46,45,12,12,34,0,22,25,48,0,11,6,10
14,14,41,0,15,34,55,136,25,45,65,136,7,13,21
19,20,50,39,15,16,50,0,16,30,50,23,8,7,3
9,9,15,0,10,11,34,19,19,20,47,0,2,6,15
17,17,39,0,27,28,69,38,6,30,41,0,4,18,2
21,24,42,3,23,23,52,38,38,39,69,2,15,16,29
19,19,45,17,9,13,33,156,22,23,44,65,10,6,14
8,40,49,268,11,33,53,241,8,21,50,159,5,10,7
11,14,45,60,20,26,35,215,20,32,49,237,6,13,15
25,38,73,71,28,33,78,0,4,17,26,21,17,22,3
18,18,58,0,20,20,46,2,13,13,35,0,15,10,5
35,35,58,0,34,34,81,0,27,27,67,0,9,10,13
9,9,51,0,23,23,80,0,12,12,81,0,6,18,10
25,25,59,0,23,23,60,0,23,31,73,0,14,14,15
33,35,115,18,20,23,65,31,20,35,81,97,24,15,7
12,35,42,214,18,57,74,219,17,51,60,210,4,15,8
13,13,28,14,19,20,46,24,19,19,52,0,7,12,13
