"winner","red_sig_str_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","red_ctrl_time_rnd_1","red_sig_str_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","red_ctrl_time_rnd_2","red_sig_str_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","red_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_rnd_3","blue_sig_str_rnd_1","blue_tot_str_rnd_1","blue_tot_str_attempt_rnd_1","blue_ctrl_time_rnd_1","blue_sig_str_rnd_2","blue_tot_str_rnd_2","blue_tot_str_attempt_rnd_2","blue_ctrl_time_rnd_2","blue_sig_str_rnd_3","blue_tot_str_rnd_3","blue_tot_str_attempt_rnd_3","blue_ctrl_time_rnd_3","blue_sig_str_head_rnd_1","blue_sig_str_head_rnd_2","blue_sig_str_head_rnd_3"
"red",28,29,57,2,35,35,67,0,25,25,62,0,9,21,16,28,33,74,41,38,38,90,0,25,25,77,0,14,28,17
"blue",14,20,42,38,9,12,40,1,14,23,69,40,13,6,13,26,26,47,9,25,26,45,36,27,29,54,0,11,15,24
"blue",45,61,86,61,13,15,32,97,16,19,37,24,41,9,12,13,19,38,83,23,23,47,25,15,30,62,104,9,17,11
"blue",18,18,64,0,15,28,61,81,14,36,66,0,5,7,9,7,7,36,0,13,15,31,54,16,16,50,92,5,12,13
"blue",28,28,57,21,18,18,39,0,20,20,53,0,18,12,16,28,28,62,0,35,35,72,0,31,31,77,0,14,16,17
"red",48,55,83,6,29,30,58,0,40,41,81,0,23,16,29,26,30,49,134,29,31,58,72,37,46,91,113,12,14,30
"blue",3,23,41,0,12,19,42,0,18,24,75,0,1,3,5,8,21,35,178,17,33,51,173,25,45,73,163,7,16,22
"blue",6,16,19,166,20,20,34,15,2,16,17,74,4,10,2,15,34,40,108,22,26,59,47,9,40,46,206,11,21,8
"red",8,29,36,210,10,27,35,32,11,45,55,191,6,2,9,3,18,19,0,9,19,44,0,7,22,35,0,2,5,7
"blue",13,13,42,0,28,28,68,0,22,25,69,0,3,17,15,34,34,61,14,29,30,49,2,30,31,63,55,18,18,23
"blue",10,26,50,47,19,32,53,50,47,62,126,35,1,8,31,27,37,49,32,32,41,64,132,33,37,67,3,8,23,21
"red",34,35,98,0,34,36,87,4,30,31,84,0,18,26,27,34,34,103,19,32,36,93,25,34,34,85,12,21,15,20
"blue",11,11,43,65,17,19,58,37,20,20,67,0,8,13,16,22,22,39,2,24,27,41,0,38,39,75,7,15,12,21
"blue",12,12,26,16,35,47,73,67,22,22,45,0,6,29,15,18,18,47,28,28,28,59,1,31,31,84,13,7,13,18
"red",15,38,49,187,29,35,55,105,9,21,30,191,6,12,2,11,21,30,9,24,28,64,17,19,35,52,65,8,17,12
"red",35,36,121,27,3,57,78,81,13,21,59,109,22,1,10,19,19,41,5,6,10,17,76,19,22,43,92,13,5,14
"blue",32,34,80,4,45,48,102,40,26,27,45,175,19,27,22,33,34,67,47,56,59,116,47,32,32,58,20,22,49,30
"blue",25,27,61,97,10,16,29,51,24,55,72,63,11,5,17,23,24,54,0,20,37,51,174,28,51,76,117,21,19,27
"red",30,31,53,27,43,46,70,60,32,35,49,228,11,25,26,41,41,84,0,31,38,64,114,11,16,32,0,12,19,8
"blue",39,44,71,0,32,37,46,0,31,37,49,0,29,15,24,29,32,81,46,18,29,56,151,24,38,87,95,29,15,21
"red",26,44,104,81,29,34,85,30,36,36,97,2,12,13,19,18,20,35,0,23,25,43,2,23,23,68,0,11,15,16
"red",29,35,68,8,28,37,54,142,22,28,64,113,12,17,14,26,84,105,160,9,82,99,68,29,79,105,31,21,5,22
"blue",2,4,7,150,7,7,19,46,12,12,29,58,2,7,12,5,10,27,0,19,34,63,0,21,48,87,0,5,14,19
"blue",32,37,76,16,21,21,52,27,20,20,45,22,24,14,14,28,28,48,53,27,36,47,85,34,49,66,12,21,20,25
"red",5,26,33,71,12,33,47,183,27,53,68,245,2,8,26,9,23,30,112,19,30,43,17,5,10,20,6,0,7,1
"red",29,40,69,39,16,43,54,255,35,38,72,0,25,14,27,55,64,106,0,9,26,35,0,59,63,118,6,22,4,36
"red",11,69,74,216,14,91,109,274,17,33,83,45,10,14,13,7,15,32,0,1,13,22,11,31,32,75,5,6,0,20
"red",49,49,82,5,37,37,83,0,38,38,84,0,38,29,32,42,50,93,0,44,50,89,4,46,47,86,2,30,32,33
"blue",13,17,28,75,11,35,45,41,7,46,59,59,9,8,4,24,34,42,63,14,36,45,210,11,32,37,204,19,12,7
"red",14,14,42,0,18,18,61,0,7,11,22,0,9,11,4,7,7,26,0,10,10,32,8,17,33,58,181,3,3,13
"red",25,25,43,0,28,28,58,0,41,41,91,2,13,15,36,42,42,92,0,34,34,78,0,54,54,111,0,23,23,40
"red",4,22,31,260,4,13,26,205,6,17,32,112,2,4,3,3,7,13,0,2,8,23,5,4,10,27,45,0,2,1
"red",15,15,52,0,47,47,107,0,59,60,112,0,12,38,48,39,39,73,0,27,27,66,0,38,38,110,0,11,7,18
"blue",10,12,38,43,13,16,42,25,14,18,53,18,8,6,9,20,22,48,11,23,23,44,72,28,28,61,2,14,16,19
"blue",8,14,36,20,34,35,73,22,3,35,44,0,6,25,1,1,6,17,123,6,6,21,21,3,39,60,254,1,5,2
"blue",13,13,40,2,16,17,52,10,10,21,56,28,9,7,6,26,27,50,30,16,18,41,16,20,26,38,81,13,6,10
"blue",6,6,16,104,6,8,24,171,8,11,16,135,3,5,6,11,19,31,4,13,46,66,0,4,35,46,90,3,2,3
"red",11,28,62,14,15,24,61,10,14,52,81,39,4,7,12,17,20,37,106,15,19,42,106,10,16,33,169,6,8,4
"red",3,11,17,103,4,23,30,221,13,37,53,277,0,3,3,12,38,53,126,7,35,42,0,2,97,118,0,0,3,1
"blue",15,15,38,0,26,26,47,0,33,33,62,11,9,14,12,31,31,64,0,47,60,103,17,43,50,102,7,14,26,24
"blue",11,14,40,15,20,23,54,33,16,33,45,130,7,12,8,21,21,46,0,35,41,66,0,12,26,43,81,11,23,6
"red",17,19,29,83,18,20,34,63,18,18,43,60,9,11,10,17,21,45,21,30,37,72,7,29,32,70,13,7,14,14
"red",18,18,42,3,6,24,35,174,31,99,115,254,7,6,31,26,26,67,0,10,12,19,111,4,4,8,0,21,10,3
"red",10,29,50,51,16,36,48,215,11,45,59,217,4,13,5,6,13,33,69,3,15,25,22,12,53,68,17,2,1,5
"red",11,21,25,0,21,34,58,2,21,32,57,2,6,12,16,6,9,21,220,5,5,22,54,6,9,28,92,4,4,5
"blue",2,4,9,2,12,12,26,0,16,20,34,14,2,7,11,17,68,81,286,24,50,94,70,15,23,45,104,4,14,12
"blue",7,13,24,0,2,11,16,5,6,13,19,0,6,1,3,10,32,66,220,6,26,41,244,7,18,35,271,6,5,5
"blue",22,22,46,0,29,29,58,0,14,62,80,0,13,17,8,20,20,33,0,21,21,45,0,31,48,65,138,15,16,26
"red",37,43,97,0,35,37,78,1,55,55,125,0,21,24,42,32,36,60,55,22,58,86,126,35,35,92,3,17,19,24
"red",20,21,41,0,39,39,76,0,21,23,56,23,11,19,10,7,9,14,94,9,9,22,18,16,16,29,45,5,7,7
"blue",25,50,67,0,28,37,59,46,28,45,70,6,10,16,19,33,43,63,79,34,35,60,31,32,36,69,75,17,21,21
"red",9,27,53,33,14,21,62,49,32,41,99,21,2,8,24,11,12,28,156,14,14,28,56,10,11,20,18,10,11,9
"blue",4,23,25,0,0,16,19,0,1,21,28,0,3,0,0,6,58,88,269,8,45,66,290,0,63,74,287,3,8,0
"red",16,32,39,33,29,48,65,35,21,77,106,266,10,15,17,5,18,37,176,22,30,60,77,1,4,16,0,2,17,1
"blue",14,16,25,61,19,22,39,68,12,12,27,79,8,9,6,11,17,28,0,18,35,57,0,27,39,58,0,8,7,19
"red",30,30,69,0,16,16,35,34,25,33,51,195,24,13,24,30,32,71,0,21,24,48,34,7,8,25,0,9,9,2
"blue",26,45,59,199,19,21,59,50,26,45,83,18,24,16,22,11,11,19,9,40,43,71,8,33,46,74,75,8,30,29
"red",26,26,54,0,23,23,50,0,35,35,78,0,19,10,17,14,14,65,0,11,11,66,0,12,12,65,0,7,4,6
"red",26,34,78,33,21,74,109,69,24,70,119,0,20,10,19,21,22,52,31,10,19,48,67,17,32,63,79,13,3,11
"blue",22,23,48,45,26,40,65,104,13,22,42,189,11,18,9,34,35,91,0,24,40,87,25,24,35,65,11,17,19,18
"blue",21,36,48,142,8,35,39,137,5,16,25,0,8,2,2,2,2,6,0,14,60,69,117,9,38,55,211,0,2,4
