"winner","kd_rnd_1","sig_str_rnd_1","sig_str_attempt_rnd_1","tot_str_rnd_1","tot_str_attempt_rnd_1","td_rnd_1","td_attempt_rnd_1","sub_attempt_rnd_1","ctrl_time_rnd_1","kd_rnd_2","sig_str_rnd_2","sig_str_attempt_rnd_2","tot_str_rnd_2","tot_str_attempt_rnd_2","td_rnd_2","td_attempt_rnd_2","sub_attempt_rnd_2","ctrl_time_rnd_2","kd_rnd_3","sig_str_rnd_3","sig_str_attempt_rnd_3","tot_str_rnd_3","tot_str_attempt_rnd_3","td_rnd_3","td_attempt_rnd_3","sub_attempt_rnd_3","ctrl_time_rnd_3","sig_str_head_rnd_1","sig_str_head_attempt_rnd_1","sig_str_body_rnd_1","sig_str_body_attempt_rnd_1","sig_str_leg_rnd_1","sig_str_leg_attempt_rnd_1","sig_str_dist_rnd_1","sig_str_dist_attempt_rnd_1","sig_str_clinch_rnd_1","sig_str_clinch_attempt_rnd_1","sig_str_gnd_rnd_1","sig_str_gnd_attempt_rnd_1","sig_str_head_rnd_2","sig_str_head_attempt_rnd_2","sig_str_body_rnd_2","sig_str_body_attempt_rnd_2","sig_str_leg_rnd_2","sig_str_leg_attempt_rnd_2","sig_str_dist_rnd_2","sig_str_dist_attempt_rnd_2","sig_str_clinch_rnd_2","sig_str_clinch_attempt_rnd_2","sig_str_gnd_rnd_2","sig_str_gnd_attempt_rnd_2","sig_str_head_rnd_3","sig_str_head_attempt_rnd_3","sig_str_body_rnd_3","sig_str_body_attempt_rnd_3","sig_str_leg_rnd_3","sig_str_leg_attempt_rnd_3","sig_str_dist_rnd_3","sig_str_dist_attempt_rnd_3","sig_str_clinch_rnd_3","sig_str_clinch_attempt_rnd_3","sig_str_gnd_rnd_3","sig_str_gnd_attempt_rnd_3"
"red",0,14,18,14,18,0,0,0,0,0,-2,-7,-2,-7,0,0,0,-5,0,-2,-11,-1,-10,0,0,0,-77,6,10,1,1,7,7,14,18,0,0,0,0,-8,-13,-1,-1,7,7,0,-5,-2,-2,0,0,-2,-9,-4,-6,4,4,13,9,-8,-10,-7,-10
"red",0,12,60,10,59,1,1,0,27,0,9,39,-20,10,0,2,0,75,0,22,57,30,66,1,3,0,139,13,71,4,0,-5,-11,12,57,0,2,0,1,9,44,3,2,-3,-7,10,41,-1,-2,0,0,12,48,9,8,1,1,18,47,-2,-1,6,11
"red",0,-3,4,-6,-1,-1,0,0,-38,0,-6,-3,-13,-11,0,-2,-1,22,0,3,14,-6,2,0,-2,0,-3,-6,-1,2,3,1,2,-5,2,2,2,0,0,-6,-4,0,1,0,0,-5,-2,0,0,-1,-1,-3,8,6,6,0,0,-4,-1,7,14,0,1
"blue",0,1,0,9,7,1,5,0,227,0,-15,-28,-31,-44,1,5,0,78,0,-16,-25,-19,-28,0,5,0,100,3,2,-2,-2,0,0,-1,-1,-2,-3,4,4,-5,-15,-5,-6,-5,-7,-10,-24,-5,-4,0,0,-6,-15,-7,-8,-3,-2,-9,-18,-7,-7,0,0
"red",0,3,9,2,8,0,0,0,-17,0,7,41,7,41,0,0,0,0,0,24,29,21,26,0,1,0,-21,13,27,-1,-5,-9,-13,2,7,1,2,0,0,18,52,0,1,-11,-12,7,40,0,1,0,0,31,41,-1,-3,-6,-9,22,29,1,1,1,-1
"blue",0,5,33,3,31,1,4,0,94,0,-2,45,0,49,0,5,0,18,0,3,28,-26,-1,-1,0,0,-92,1,26,-5,-5,9,12,1,29,3,3,1,1,7,51,-13,-10,4,4,-5,42,3,3,0,0,3,20,-2,5,2,3,2,29,1,0,0,-1
"red",0,6,-15,-2,-23,0,0,0,12,0,19,-1,21,1,0,-2,0,-33,0,30,13,26,9,-1,-2,0,-128,-1,-20,-1,-6,8,11,4,-19,2,4,0,0,14,3,-3,-10,8,6,19,-2,0,0,0,1,21,7,3,0,6,6,29,12,0,0,1,1
"blue",0,3,14,6,17,-1,-3,0,-161,0,-11,-15,1,1,-3,-7,-1,-239,0,1,1,56,62,0,1,-1,-146,-7,4,1,1,9,9,9,18,1,3,-7,-7,-10,-16,-3,-1,2,2,-3,0,1,2,-9,-17,1,1,0,0,0,0,0,0,0,0,1,1
"blue",0,-9,-5,-19,-16,0,0,0,-228,0,5,9,8,11,1,1,0,163,0,5,-8,-14,-31,-1,-2,0,-31,-6,-1,1,0,-4,-4,-3,2,1,1,-7,-8,3,9,3,2,-1,-2,1,2,0,0,4,7,-3,-19,6,10,2,1,13,2,-1,-1,-7,-9
"blue",0,5,6,9,9,0,4,0,63,0,-3,6,-1,8,0,2,0,49,0,-2,-16,-9,-26,4,8,0,90,4,6,2,1,-1,-1,3,5,2,1,0,0,-5,0,1,4,1,2,-6,2,3,4,0,0,-9,-23,1,1,6,6,-6,-20,-3,-3,7,7
